r, x, y, z
3.500000000000000000e-03 6.894689109746920952e-02 2.869760486481477690e-02 1.475315923968215093e-02
3.500000000000000000e-03 3.853317705579799302e-02 2.721755682422690240e-02 1.549025974025973994e-02
3.500000000000000000e-03 5.017768618004949527e-02 2.505688402141279317e-02 1.559089213658404124e-02
3.500000000000000000e-03 9.739079476571757196e-03 2.517372755210901467e-02 1.565584415584415565e-02
3.500000000000000000e-03 6.197536523681587001e-02 2.839145614805784618e-02 1.612347996830755525e-02
3.500000000000000000e-03 9.467101029601029212e-04 3.494112371299871317e-02 1.493734643734643402e-02
3.500000000000000000e-03 3.392873492060432400e-02 3.126644076121208593e-02 1.903571428571428428e-02
3.500000000000000000e-03 1.205295185414233337e-03 2.895104623330813781e-02 1.820964749536178179e-02
3.500000000000000000e-03 1.552898082977285758e-02 2.671150583345538801e-02 1.924020392215234493e-02
3.500000000000000000e-03 6.748701411397001193e-02 3.393770676327610702e-02 1.916058190736302097e-02
3.500000000000000000e-03 4.085651417603362867e-02 3.158171751697821245e-02 2.063315198315198232e-02
3.500000000000000000e-03 3.836309533324298859e-02 2.274512003492788412e-02 2.064935064935064998e-02
3.500000000000000000e-03 6.137008990473116071e-02 3.191078044989015261e-02 2.182467532467532653e-02
3.500000000000000000e-03 4.697635022976555386e-02 2.817786474439465741e-02 2.190049140049139809e-02
3.500000000000000000e-03 5.114454447705451406e-02 3.392529166046764910e-02 2.255513155675493292e-02
3.500000000000000000e-03 1.567410562444521496e-02 3.305237319182365713e-02 2.272288676236044677e-02
3.500000000000000000e-03 6.800538505912548382e-02 3.051267581917177507e-02 2.469803273649427353e-02
3.500000000000000000e-03 3.116505635791358766e-02 2.620626179267436864e-02 2.478896103896103750e-02
3.500000000000000000e-03 2.862439557461469997e-02 3.322219349270459643e-02 2.489449236894492393e-02
3.500000000000000000e-03 3.582120176795552252e-02 3.163177063267317429e-02 2.546753246753246866e-02
3.500000000000000000e-03 4.391198145004601879e-03 2.393318448039506718e-02 2.626143589348337026e-02
3.500000000000000000e-03 6.094494086211078160e-02 2.896590648838020740e-02 2.787972387972387917e-02
3.500000000000000000e-03 5.555523059042764139e-02 3.357012396607224336e-02 2.788845883180858520e-02
3.500000000000000000e-03 1.256056924114471243e-02 2.794667955463373335e-02 2.859734233284116911e-02
3.500000000000000000e-03 7.474000000000000088e-02 3.212999999999999884e-02 2.751623376623376499e-02
3.500000000000000000e-03 4.842679606946753007e-02 3.300886038872666989e-02 2.923998104899392519e-02
3.500000000000000000e-03 4.116720189070502411e-02 3.358942535887597669e-02 2.936877560941731843e-02
3.500000000000000000e-03 5.747137188208617346e-03 2.950574586977648336e-02 2.979764113437582615e-02
